,TEAM_ID,X,Y,SHOT_MADE_FLAG,Distance,zones,zones2
98,1610612755,1.5,3.3,1,3.6249137920783716,2PT,2PT
100,1610612755,17.9,20.0,0,26.840454541605663,NC3,NC3
101,1610612755,17.7,19.7,0,26.483579818445993,NC3,NC3
102,1610612755,9.8,11.8,0,15.33883959105121,2PT,2PT
103,1610612755,3.2,4.6,0,5.60357029044876,2PT,2PT
106,1610612755,0.8,0.4,1,0.894427190999916,2PT,2PT
108,1610612755,5.3,26.0,0,26.534694269955327,NC3,NC3
110,1610612755,1.1,5.2,0,5.315072906367325,2PT,2PT
112,1610612755,2.0,4.1,1,4.561797891182818,2PT,2PT
113,1610612755,19.1,17.9,0,26.1767072031606,NC3,NC3
114,1610612755,17.4,18.8,1,25.616400996236766,NC3,NC3
116,1610612755,0.2,1.2,1,1.2165525060596438,2PT,2PT
118,1610612755,7.6,18.9,0,20.370812453115363,2PT,2PT
120,1610612755,16.6,21.0,1,26.7686383665662,NC3,NC3
121,1610612755,0.8,0.4,0,0.894427190999916,2PT,2PT
123,1610612755,1.0,4.8,0,4.903060268852505,2PT,2PT
124,1610612755,17.7,1.2,0,17.740631330367023,2PT,2PT
126,1610612755,4.1,17.5,1,17.97386992275175,2PT,2PT
